Date,^FTSE_log_return,^GSPC_log_return,^N225_log_return,^STOXX50E_log_return
2011-01-31,0.14742524833265766,0.13605073834784703,0.1907942034527508,0.17408523610361287
2011-02-01,0.1490151094226076,0.1372417403346557,0.18709164600443373,0.17581378576929704
2011-02-02,0.148400455663751,0.13713764383751537,0.18852645621913156,0.17581012100028495
2011-02-03,0.14405858027243254,0.13712835178762456,0.18846766506765905,0.17599611095621503
2011-02-04,0.1440746018807732,0.1340609304834223,0.18897187759819625,0.17475132904948737
2011-02-07,0.1444950280123842,0.13394808967197058,0.18542674610836857,0.17361175412657745
2011-02-08,0.14458638328893267,0.13384516354942727,0.1847079829333337,0.17305021165593273
2011-02-09,0.14460428407536172,0.13392389201806673,0.1797922085281331,0.1684556857824658
2011-02-10,0.14353554038291702,0.13372890685426078,0.17952080263056855,0.16847753914258318
2011-02-11,0.14347143309045884,0.13373037959500586,,0.1683171834031548
2011-02-14,0.1388095739410692,0.1333167742056963,,0.1682312050213234
2011-02-15,0.13890635530076262,0.1264251498013022,0.1768952154535562,0.16717296383049238
2011-02-16,0.13925800788195308,0.1261781439722945,0.1767648589763809,0.1676058185031529
2011-02-17,0.13925578186333967,0.12591601230637448,0.17676776755277546,0.16496685024311372
2011-02-18,0.13802427613512783,0.12589174589332666,0.1729132420056244,0.16396013548376615
2011-02-21,0.13839492482943969,,0.17266179791265318,0.16609153886577901
2011-02-22,0.1360428445890618,,0.17295794499858522,0.16468531184554736
2011-02-23,0.13721233621028842,0.12554154289466116,0.17335791242803095,0.16456792823420333
2011-02-24,0.13689353760583575,0.12560005243208788,0.17339423416785446,0.1643660351368089
2011-02-25,0.13617448658771591,0.12331882779649656,0.17083583628912727,0.16473199709819242
2011-02-28,0.135448860593979,0.12316467473906799,0.16964656799773353,0.1649065655429489
2011-03-01,0.1358343626947532,0.12544650416068756,0.1704100919644853,0.1656377156863943
2011-03-02,0.13551069593702947,0.12321708514190656,0.17378586485841782,0.15909094075411803
2011-03-03,0.13201861664383469,0.12502914552159722,0.1741350962837464,0.15913754469065633
2011-03-04,0.13209643472006843,0.12498078119447463,0.16998008872534326,0.15875979535594853
2011-03-07,0.13143548496819224,0.12418060130907155,0.17150492432759532,0.15900612894506805
2011-03-08,0.13142185482908295,0.12223530161816656,0.17143710656000252,0.1584549888757763
2011-03-09,0.13147351336861973,0.12231087499007927,0.17130114643557387,0.15806608681395262
2011-03-10,0.13336363970427068,0.11984027094486084,0.17261009920737766,0.15793084605540317
2011-03-11,0.13245442177297112,0.11962924528726744,0.17417486119246872,0.158471706127682
2011-03-14,0.13313290533468572,0.11901778034839805,0.1957325079656902,0.15881114346445915
2011-03-15,0.13364916202217475,0.12018721306374147,0.24997611011044954,0.1624688826063871
2011-03-16,0.13585452240011348,0.12373881801535216,0.2620074372174213,0.1655416413926582
2011-03-17,0.13803777278858834,0.12481043556134894,0.262123392172794,0.16884793181593036
2011-03-18,0.13808061263630453,0.12410787031631494,0.26381526417129525,0.16829222368922203
2011-03-21,0.13881260702219042,0.12556015552342917,,0.17016454598671016
2011-03-22,0.1368918039163527,0.1257145006716119,,0.1701392587442647
2011-03-23,0.1369517741931613,0.12571148065199272,0.26470633519250125,0.1688259269752004
2011-03-24,0.13829624815102734,0.126211099260851,0.2643688518248567,0.1699208415172744
2011-03-25,0.13835303054051454,0.12472191659556342,0.2636337819024145,0.16773003982999007
2011-03-28,0.13777510299980442,0.12473375614227435,0.25873209992663826,0.1674975179111548
2011-03-29,0.13774423687275578,0.12468342034798681,0.2582254108243293,0.16750898851055185
2011-03-30,0.1377823600591246,0.12411839859292731,0.2599792944336583,0.16749636399303977
2011-03-31,0.13811329634865538,0.12106823425584134,0.2599439105838735,0.1679781795238678
2011-04-01,0.13997445757169835,0.12075700274296286,0.2584145790524323,0.16951660639072047
2011-04-04,0.13957451955711703,0.12066855188292376,0.2581698863584927,0.16865216155178878
2011-04-05,0.13924390093193814,0.12055609110750658,0.256713462001411,0.1661684451079198
2011-04-06,0.13805336397688656,0.12038950256898161,0.25649083173125165,0.1661015097539848
2011-04-07,0.13787967915096044,0.12038851980303542,0.25554786466987117,0.16613862448475816
2011-04-08,0.13820644308823632,0.119880529978044,0.25656642447750955,0.16638942329283382
2011-04-11,0.1382006536798458,0.11685542466460619,0.2566375604645142,0.16647680603276518
2011-04-12,0.13982223242653183,0.11752641633676322,0.2571368837428017,0.16761423996632274
2011-04-13,0.14017770912576255,0.11746539116737323,0.2574289043624147,0.16468118673457258
2011-04-14,0.139063703658063,0.1172684998929252,0.2566584919077557,0.16543660112270345
2011-04-15,0.1391590363378819,0.11732367914635565,0.25634026280052497,0.16541893204321964
2011-04-18,0.14229970066290076,0.11853794538071862,0.2561861385280301,0.16906112355996594
2011-04-19,0.14211862493005523,0.11841261682285086,0.2552051689923581,0.1689933743002537
2011-04-20,0.14483739726680292,0.11949878222010046,0.2563778379561931,0.1717047093630042
2011-04-21,0.14472665162498513,0.11963139557544078,0.25663457035571935,0.1711912720187381
2011-04-22,,,0.2557732307352025,
2011-04-25,,,0.2544465410504452,
2011-04-26,,0.11982982339706508,0.25495179620736497,
2011-04-27,0.1445664355442938,0.11748128366818773,0.2553969380391452,0.17144465665043723
2011-04-28,0.14449959095519535,0.11681215972629296,0.2564475385588502,0.17191221249444133
2011-04-29,,0.11681824027319064,,0.17174015563251135
2011-05-02,,0.11689214116531196,,0.1711752105624025
2011-05-03,,0.11707628696062052,,0.17107435489679887
2011-05-04,0.1463766938216741,0.11763233548841426,,0.17268362306899931
2011-05-05,0.1467591348344115,0.11841198627403994,,0.17308819250438767
2011-05-06,0.14654189751889227,0.118470245140269,,0.17313232071537665
2011-05-09,0.1465780063975021,0.11853975203796806,0.2551377293102767,0.17420336734887407
2011-05-10,0.14765342931172476,0.11892771727851428,0.25489464767003656,0.17306936628885475
2011-05-11,0.14795254076389436,0.11986892362881632,0.2549909538200475,0.1730231105387927
2011-05-12,0.1473378845124874,0.11993253198702725,0.2557582893309756,0.17342321322919432
2011-05-13,0.1473948097404,0.11788216490677624,0.25488450440626115,0.17341611555068231
2011-05-16,0.14472819483426208,0.11823873640491904,0.25520553017058983,0.17211967372821702
2011-05-17,0.1454494132601753,0.11817536061014378,0.2550799509000215,0.17268132990992535
2011-05-18,0.14613466226496824,0.1180011481601121,0.25547939209315884,0.1728429996889975
2011-05-19,0.14621557286746106,0.1179162568786428,0.25552104017364236,0.17273490797111707
2011-05-20,0.14554855135742828,0.11832842909214508,0.25551715056501234,0.17037730726377898
2011-05-23,0.14802580210938696,0.1183544807323666,0.2563788997976838,0.17269301163456222
2011-05-24,0.1480745589407759,0.11834123605757467,0.25523444518433175,0.1706820185978961
2011-05-25,0.1479861947337859,0.11577759830249373,0.2552564293220815,0.17081407507378776
2011-05-26,0.14402322276878166,0.11583862878733223,0.25613689472792217,0.17016752472767416
2011-05-27,0.14465936457814496,0.11416543411754716,0.25297068777848075,0.16639579740485747
2011-05-30,,,0.2524391241518638,
2011-05-31,,,0.254013609313269,
2011-06-01,0.1441770602527353,0.11912675864694795,0.25322814199649923,
2011-06-02,0.14520376654322373,0.11911330146669477,0.2542518865562491,
2011-06-03,0.14464926282901125,0.1180981271300764,0.2536895224677344,
2011-06-06,0.14246308734465246,0.11757334494891311,0.2536841169267859,0.1665853600467969
2011-06-07,0.14117979115849258,0.1175597922894759,0.25388017257189777,0.1666117817689282
2011-06-08,0.14142861608000615,0.1173696718761372,0.2538687534060847,0.1663776654016036
2011-06-09,0.14171361464010754,0.1140170857703989,0.25211112445858663,0.16306653280434183
2011-06-10,0.1403010601428408,0.11457045107807774,0.2522353341478838,0.16447591468388734
2011-06-13,0.14019040648969724,0.1145279960956705,0.2519740188162413,
2011-06-14,0.13734260177421034,0.1157834469563266,0.2523577953835619,
2011-06-15,0.13449800818681276,0.11857083957587215,0.252373153846749,0.16214848810418409
2011-06-16,0.13480542284925673,0.11849196064624523,0.25305749405587413,0.1591730491073085
2011-06-17,0.13471579736125944,0.1184498492856343,0.25190533461338277,0.16050441858993206
2011-06-20,0.13443317567606028,0.11839479790672335,0.2517625968099982,0.16077554649351056
2011-06-21,0.1360050350983548,0.11981635048435542,0.2509236085936409,0.16228476057137836
2011-06-22,0.13595295206890975,0.12021196996922942,0.25232188798057315,0.16210357811235962
2011-06-23,0.13802285396381464,0.12004353864251621,0.2523459767350617,0.1649625988918977
2011-06-24,0.1376255413950576,0.12098258595934641,0.2526883885745143,0.16512023193852782
2011-06-27,0.13755889147753836,0.1216337060080783,0.2526570452605095,0.16497039515404524
2011-06-28,0.13804815992223343,0.12288516190902797,0.2527810346515721,0.1655545323314759
2011-06-29,0.13983953842365485,0.12313201015985377,0.2536623518971729,0.16748764457509127
2011-06-30,0.1415385428099739,0.12381945938802867,0.2533823018548772,0.16908805754898712
2011-07-01,0.14185624557069637,0.12531919735419048,0.2534944889919069,0.16919786561055178
2011-07-04,0.1412578137727885,,0.25393966515081196,0.1689959720152274
2011-07-05,0.14105150882713563,,0.2539453207981442,0.16821547558913144
2011-07-06,0.14108731604272437,0.12532030857686113,0.25448643475174737,0.16840546823275732
2011-07-07,0.1416025908144652,0.12608543613910844,0.2542409323823185,0.16850316439175728
2011-07-08,0.14225374918273637,0.12651259844679713,0.25348073166270607,0.1706697813486321
2011-07-11,0.1419952263997636,0.1292944149534188,0.253616185497206,0.1753348451188481
2011-07-12,0.1424878678496219,0.12856016729241138,0.2540781705865442,0.1747228515258611
2011-07-13,0.1427079728782531,0.12859659468068596,0.25405020235028253,0.1751076978591985
2011-07-14,0.1431667777208559,0.12881903561821578,0.2539278774674307,0.18032775321602473
2011-07-15,0.1430326816304777,0.12898502737577625,0.25358123491777024,0.1819200736746121
2011-07-18,0.14396262233000223,0.12951039813414167,,0.18352066925520605
2011-07-19,0.14399689968933282,0.13141678651786476,,0.18212741536197938
2011-07-20,0.14479239134624391,0.13134274847289185,0.25418487288205593,0.18548027255275212
2011-07-21,0.14518207058375077,0.13208371327394944,0.2533030961207861,0.18467316796833305
2011-07-22,0.14540477780636735,0.13204951086180258,0.25394063432934577,0.19836899040823436
2011-07-25,0.14441353701244253,0.1319625305296688,0.2541573210146704,0.19888222329297758
2011-07-26,0.1432405446286571,0.13126481130582832,0.25402032203749014,0.19884499997046554
2011-07-27,0.14195845924088962,0.1345416971028917,0.2538472102362823,0.19936612664287412
2011-07-28,0.14184479804371175,0.134596489993988,0.25460212728998766,0.19914231103534322
2011-07-29,0.14202022192119423,0.13468628468264227,0.2547243541337878,0.1994099785277749
2011-08-01,0.14222090576173485,0.13482032986946374,0.25544149187877857,
2011-08-02,0.14225233337622825,0.13959562301138034,0.2555059998800638,
2011-08-03,0.14598767792777173,0.13974597473839434,0.25628181462530364,0.19976455200108945
2011-08-04,0.15263810701072333,0.15389211879389805,0.25608577493985735,0.20529976480440681
2011-08-05,0.1571851740797597,0.15346716319644604,0.26075103109358644,0.20611080817392394
2011-08-08,0.1622874541143989,0.17976113111154118,0.262308557051743,0.2123160392834432
2011-08-09,0.16434646396576047,0.1918559485190658,0.2629211204420493,0.21203464002255437
2011-08-10,0.16960860797213914,0.2018185260232446,0.26310548281518675,0.22868947207235538
2011-08-11,0.175526110539576,0.21214143869923943,0.26277733730933217,0.23269795668590798
2011-08-12,0.18047299086709948,0.2120811641116347,0.2626829820114896,0.23876972593947074
2011-08-15,0.18039873161401665,0.21431267977442287,0.26215188259534716,0.23906768568477052
2011-08-16,0.18027709675507114,0.21468160519705365,0.2622026255975943,0.23900952867710099
2011-08-17,0.18025539461748746,0.2146844883462994,0.26169149230782696,0.2390342144222495
2011-08-18,0.1906874091387264,0.22368988847002946,0.2620050411875118,0.2500491081413592
2011-08-19,0.19106871377407672,0.22450738556401925,0.264002507792114,0.2514201255790426
2011-08-22,0.19183992805898734,0.22449932932594183,0.2642795277563795,0.25215318249865276
2011-08-23,0.19172113679762118,0.22964230617805634,0.2650282800996866,0.25254085109549945
2011-08-24,0.19308847611927243,0.23042958206517491,0.26526349741744315,0.25406145507308076
2011-08-25,0.193969280899343,0.2313351535171626,0.26616421177089994,0.2542987444186821
2011-08-26,0.1934757239355186,0.23233117655247246,0.26617394696201885,0.2545166483841652
2011-08-29,,0.235869879768901,0.26639183275730965,0.25622506993215377
2011-08-30,,0.23537343255520274,0.2670283871212881,0.25620611639894075
2011-08-31,0.19666630018848832,0.23534096780990676,0.2660514102634378,0.2596419813034754
2011-09-01,0.1961887625310017,0.23489759216743927,0.2665633883278433,0.2586453416157349
2011-09-02,0.19877053995810054,0.23749594877947242,0.26657960722768587,0.26331597033695153
2011-09-05,0.203765065355128,,0.2674048031142243,0.27259536799048584
2011-09-06,0.2044956966588144,,0.2685237092354321,0.2730042233558254
2011-09-07,0.20923579843195592,0.2397173466575185,0.2695692069268512,0.27698300404088083
2011-09-08,0.209344888050919,0.23994207169556508,0.26771248762981303,0.2767185869611428
2011-09-09,0.21047200759982795,0.2425646599093549,0.26736628667032847,0.2822543266444728
2011-09-12,0.21153066797885214,0.24242056753160152,0.2685513738706694,0.28672436528852907
