AAPL,AMZN,GOOGL,JPM,LIN,NEE,PG,UNH,UNP,XOM,Market_Return,Risk_Free_Rate
-0.0006695704994228446,0.007949251112224331,0.015712719942842845,-0.00502013366618026,0.011963865062259993,-0.004010467092734338,0.003148774416552147,-0.002643941427797891,-0.006351807409181842,0.0013762650505029228,0.002770840171960609,4.96031746031746e-06
0.002297861562299053,0.002867784338788759,0.007873518637627752,-0.0021624402987043823,0.0010455877751840426,-0.005509389294264255,-0.0025115348741060473,0.004418081300359811,-0.0008916103883663817,-0.0009161426894099822,0.000891343759789498,5.357143070016589e-06
0.006592688788871204,0.020970684267585415,0.01699913805063602,0.009390789061358928,0.008616702322032932,0.006818813642508248,0.001888634451867377,-0.03372404966925602,0.012646801679826902,-0.00045865104861742,0.0030275793556933106,5.357143070016589e-06
0.039106052847425854,0.002956516590394198,0.017346029256233964,0.021230691208109498,0.022391927511663523,0.00846519725483219,0.000313826928290295,0.02397551420300803,0.01572154624403299,0.01636087790886931,0.01429341789988614,5.753968088399797e-06
0.0005936113981528379,0.00930881137822026,-0.0030661537500776825,-0.005139338749710842,0.0030383492740528872,0.0020989163197564498,-0.007850891807741234,-0.018968640900227762,0.005207594127521142,0.00015098060910245792,0.00017465948762929173,5.753968088399797e-06
0.01798446440974888,-0.009914665533779843,-0.004071154242622721,-0.003991116195395161,0.0,-0.015288175609478816,0.0017411925122239325,-0.0006040709693689861,0.01942730844085383,0.004512287348257704,0.0016625893133128677,5.9523811889073204e-06
0.008160537112208432,0.013119055452289752,0.02902591210287997,0.012022825975577689,-0.002776608443239348,-0.001063422661567226,-0.004581243493347653,0.0048366804742265845,0.010728126360249002,0.00658905100186824,0.004456026272203539,5.753968088399797e-06
0.002935179523433362,0.023523114600585426,0.008135818042749765,0.005823093925858114,0.0063278129496899815,0.008516308852079435,0.0025388540049295916,0.007821996723217595,0.012570095043833884,0.0,0.004174800989209304,5.753968088399797e-06
0.004878284253143406,-0.013175598445278047,-0.0027532182589790066,-0.0006945491180156971,0.0010061382145178932,-0.006333007510804123,0.0023746561641317943,-0.017612204353908645,0.006896570175128236,-0.006248156463858567,8.664286711046465e-05,5.555555579208193e-06
-0.012179907661147071,-0.005234429016991227,-0.028229230819313167,-0.00185428898683615,0.0018848801026252193,0.00509872183714144,0.0060013702023002935,-0.011546531795412873,-0.0012329537956377035,-0.007485044298901289,0.00025972945569585626,5.753968088399797e-06
